VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A6514-016-00,A6514-16-002,新北市,蘆洲區,永樂里,158,0.0,1.0,0.0,6500.0,0.0,492,201604,121.45789298650324,25.090143941091473,4973.54437047808,1.3069150520869264,5
A6514-017-00,A6514-42-010,新北市,蘆洲區,永康里,447,0.0,1.0,0.0,15248.0,0.0,1252,201604,121.45623159583184,25.083169765584024,11540.03923159579,1.3213126657535168,5
A6514-019-00,A6514-38-002,新北市,蘆洲區,玉清里,574,0.0,2.0,0.0,26029.0,0.0,1487,201604,121.48165786141593,25.086500980511477,14425.66154080669,1.8043539928044399,3
A6514-019-00,A6514-38-003,新北市,蘆洲區,玉清里,223,1.0,1.0,0.0,13904.0,0.0,696,201604,121.48067501638619,25.086059969267822,6469.577291404887,2.1491357740593138,5
A6514-019-00,A6514-38-007,新北市,蘆洲區,玉清里,167,0.0,1.0,0.0,12075.0,0.0,438,201604,121.48270758453684,25.085250036925036,5178.03729002846,2.331964666081737,5
A6514-021-00,A6514-04-002,新北市,蘆洲區,水河里,131,0.0,1.0,0.0,6202.0,0.0,392,201604,121.4720353350258,25.0939693909927,4360.065611826945,1.4224556582764936,5
A6514-021-00,A6514-04-005,新北市,蘆洲區,水河里,153,2.0,1.0,0.0,6757.0,0.0,477,201604,121.4738912561666,25.093430582763123,4898.216419076014,1.3794817178116074,5
A6514-021-00,A6514-08-008,新北市,蘆洲區,水河里,82,0.0,1.0,0.0,4508.0,0.0,233,201604,121.4749984171638,25.091486640742524,3246.715272052661,1.3884802399533855,5
A6514-023-00,A6514-40-008,新北市,蘆洲區,忠義里,96,0.0,1.0,0.0,5791.0,0.0,283,201604,121.46204905957467,25.083315166778245,3564.8153691310276,1.6244880590861106,5
A6514-023-00,A6514-46-007,新北市,蘆洲區,忠義里,141,0.0,1.0,0.0,6896.0,0.0,420,201604,121.4606482427529,25.08193042349378,4587.279966882919,1.5032873619627511,5
A6514-024-00,A6514-54-008,新北市,蘆洲區,九芎里,143,0.0,1.0,0.0,6059.0,0.0,426,201604,121.46485524583528,25.07917199315358,4632.722837894116,1.3078701687999583,5
